,Open,High,Low,Close,Volume
2020-07-02 05:45:00,736.2,737.6,735.8,736.95,0.0
2020-07-02 05:46:00,737.9,737.95,737.05,737.15,1212.0
2020-07-02 05:47:00,737.35,737.7,737.2,737.45,1112.0
2020-07-02 05:48:00,737.4,738.85,737.4,738.25,2327.0
2020-07-02 05:49:00,738.6,739.45,738.5,738.5,1693.0
2020-07-02 05:50:00,739.8,742.5,739.3,741.0,7510.0
2020-07-02 05:51:00,741.3,741.3,739.05,739.1,1245.0
2020-07-02 05:52:00,739.4,740.5,739.0,739.2,967.0
2020-07-02 05:53:00,739.15,739.7,738.2,738.2,480.0
2020-07-02 05:54:00,738.2,740.55,738.05,739.3,3292.0
2020-07-02 05:55:00,738.85,739.5,738.5,739.25,489.0
2020-07-02 05:56:00,739.0,739.25,738.55,739.25,225.0
2020-07-02 05:57:00,739.25,739.45,739.0,739.1,230.0
2020-07-02 05:58:00,739.45,741.0,739.45,740.15,2206.0
2020-07-02 05:59:00,740.15,740.55,740.1,740.4,540.0
2020-07-02 06:00:00,740.0,740.4,739.75,739.75,872.0
2020-07-02 06:01:00,739.9,740.15,739.25,739.6,403.0
2020-07-02 06:02:00,739.65,739.75,738.8,739.25,466.0
2020-07-02 06:03:00,739.05,741.3,739.05,741.05,5149.0
2020-07-02 06:04:00,740.95,743.35,740.95,743.35,5671.0
2020-07-02 06:05:00,743.4,743.4,742.05,742.35,2187.0
2020-07-02 06:06:00,742.65,744.0,742.0,744.0,3965.0
2020-07-02 06:07:00,744.4,744.4,742.85,742.85,1201.0
2020-07-02 06:08:00,743.05,743.95,742.15,743.55,609.0
2020-07-02 06:09:00,743.65,745.0,743.4,744.65,7187.0
2020-07-02 06:10:00,745.1,745.55,744.3,744.85,2604.0
2020-07-02 06:11:00,744.95,745.5,744.4,744.4,2040.0
2020-07-02 06:12:00,745.0,745.45,744.5,745.0,1324.0
2020-07-02 06:13:00,745.4,745.4,744.75,745.0,685.0
2020-07-02 06:14:00,745.0,745.0,744.6,744.75,345.0
2020-07-02 06:15:00,744.75,745.95,744.75,745.95,2520.0
2020-07-02 06:16:00,746.0,747.5,745.55,747.25,4693.0
2020-07-02 06:17:00,747.5,748.9,747.15,748.55,3869.0
2020-07-02 06:18:00,748.4,749.2,748.1,748.3,2943.0
2020-07-02 06:19:00,748.15,749.2,748.15,749.15,1629.0
2020-07-02 06:20:00,749.5,750.0,749.05,750.0,3951.0
