Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-June-2017,94.20,95.20,93.85,94.15,94.381478740523376388,464828,1699,43871154.00,108092,23.25,1.35,-0.05
15-June-2017,94.55,95.80,93.85,94.30,94.597773727501688137,1594953,2596,150879003.00,870794,54.60,1.95,-0.25
14-June-2017,95.25,95.25,93.20,94.65,94.332507658146455637,916018,2485,86410275.00,136399,14.89,2.05,-0.60
13-June-2017,95.35,96.65,94.65,95.10,95.855528349057089064,971990,4042,93170615.00,290099,29.85,2.00,-0.25
12-June-2017,94.40,94.70,93.35,94.10,94.080615188170510642,526278,1911,49512558.00,139747,26.55,1.35,-0.30
9-June-2017,95.70,95.70,94.00,94.65,94.601566129860531842,736082,3156,69634510.00,207231,28.15,1.70,-1.05
8-June-2017,92.50,95.50,92.50,94.80,94.325522430588087568,1242366,4760,117186822.00,423840,34.12,3.00,2.30
7-June-2017,91.75,93.00,91.75,92.80,92.777071528306582444,7397449,2054,686313655.00,6938482,93.80,1.25,1.05
6-June-2017,92.80,93.45,90.95,91.75,91.737496533768277745,7450454,7513,683485998.00,6859282,92.07,2.50,-1.05
5-June-2017,93.50,93.70,92.50,93.00,93.138309190769082529,996304,6878,92794070.00,409774,41.13,1.20,-0.50
2-June-2017,91.15,93.35,91.15,92.85,92.381977627474196984,924795,4780,85434391.00,257834,27.88,2.20,1.70
1-June-2017,94.30,94.80,90.10,91.25,92.148006126437506258,1887557,6170,173934614.00,496040,26.28,4.70,-3.05
31-May-2017,94.20,95.70,93.10,94.50,93.531224734518163938,13157774,7715,1230662717.00,11515820,87.52,2.60,0.30
30-May-2017,91.85,93.80,91.70,93.50,92.907658871682605417,1450762,5935,134786901.00,536095,36.95,2.10,1.65
29-May-2017,92.90,93.90,90.70,91.55,92.190209804786703678,1439195,5506,132679689.00,428384,29.77,3.20,-1.35
26-May-2017,87.35,93.05,87.35,91.70,90.582019878262024793,4410949,14922,399552670.00,1512737,34.30,5.70,4.35
25-May-2017,82.90,87.40,81.85,86.05,84.774400374092143241,1822011,6354,154459890.00,396908,21.78,5.55,3.15
24-May-2017,84.55,84.85,81.55,82.30,82.986123469466452868,868733,2998,72092784.00,345665,39.79,3.30,-2.25
23-May-2017,86.00,86.20,84.00,84.55,85.047533892330494192,679431,2792,57783931.00,187168,27.55,2.20,-1.45
22-May-2017,85.90,86.40,84.95,85.95,85.792148245624924995,483306,1926,41463860.00,190571,39.43,1.45,0.05
19-May-2017,86.50,87.40,84.30,84.95,85.573316124868919899,929775,3770,79563930.00,234894,25.26,3.10,-1.55
18-May-2017,87.30,88.35,85.45,86.40,87.220003660880441746,655580,2620,57179690.00,252960,38.59,2.90,-0.90
17-May-2017,86.90,88.10,86.10,87.80,87.532148625379861447,1123765,4387,98365565.00,395565,35.20,2.00,0.90
16-May-2017,86.10,86.90,86.10,86.60,86.625174039424509636,777841,2055,67380612.00,162914,20.94,0.80,0.50
15-May-2017,85.35,86.50,85.35,86.20,85.948125851182369691,646160,1552,55536241.00,154432,23.90,1.15,0.85
12-May-2017,86.55,86.80,85.05,85.55,85.850597021323210722,839836,2120,72100422.00,127399,15.17,1.75,-1.00
11-May-2017,86.05,86.95,85.85,86.30,86.450388420926983963,1239892,3645,107189145.00,397036,32.02,1.10,0.25
10-May-2017,83.00,85.65,83.00,85.30,84.300357286676678104,1907152,4377,160773595.00,857353,44.95,2.65,2.30
9-May-2017,83.95,83.95,82.80,82.90,83.028587174745902499,2850579,2046,236679547.00,2484974,87.17,1.15,-1.05
8-May-2017,83.30,84.25,82.70,83.35,83.451542958727547233,1011401,2923,84402974.00,438191,43.33,1.55,0.05
5-May-2017,83.50,84.40,82.45,83.15,83.463155900878936959,1351519,4819,112802041.00,623719,46.15,1.95,-0.35
